"","V1","V2","V3","V4","V5","V6"
"459","MID","APXMIDP",20180110,44,48.77,1398.85
"469","MID","APXMIDP",20180110,45,46.8,1859.35
"479","MID","APXMIDP",20180110,46,45.47,1908.5
"489","MID","APXMIDP",20180110,47,39.22,201.7
"498","MID","APXMIDP",20180110,48,41.01,476.05
"240","MID","APXMIDP",20180111,1,41.3,526.6
"340","MID","APXMIDP",20180111,2,41.8,463
"440","MID","APXMIDP",20180111,3,43.8,264.9
"510","MID","APXMIDP",20180111,4,39.92,194.7
"610","MID","APXMIDP",20180111,5,39.63,160.2
"710","MID","APXMIDP",20180111,6,40.81,267.25
"810","MID","APXMIDP",20180111,7,40.68,250.75
"910","MID","APXMIDP",20180111,8,40.4,173.95
"1010","MID","APXMIDP",20180111,9,39.43,123
"1110","MID","APXMIDP",20180111,10,39.47,214.65
"1210","MID","APXMIDP",20180111,11,40.58,154.4
"1310","MID","APXMIDP",20180111,12,39.93,214.5
"1410","MID","APXMIDP",20180111,13,44.13,512.5
"1510","MID","APXMIDP",20180111,14,46.99,623.7
"1610","MID","APXMIDP",20180111,15,44.88,1008.1
"1710","MID","APXMIDP",20180111,16,47.98,595.05
"1810","MID","APXMIDP",20180111,17,45.27,84
"1910","MID","APXMIDP",20180111,18,42.54,197.4
"2010","MID","APXMIDP",20180111,19,48.4,501.95
"2114","MID","APXMIDP",20180111,20,50.27,540.3
"2212","MID","APXMIDP",20180111,21,53.58,580.95
"2310","MID","APXMIDP",20180111,22,54.58,632.45
"2410","MID","APXMIDP",20180111,23,55.87,853
"2510","MID","APXMIDP",20180111,24,56.23,885.35
"2610","MID","APXMIDP",20180111,25,56.57,956
"2710","MID","APXMIDP",20180111,26,57.8,1041.8
"2810","MID","APXMIDP",20180111,27,56.55,1056.95
"2910","MID","APXMIDP",20180111,28,56.15,1178.2
"3010","MID","APXMIDP",20180111,29,57.69,998.95
